source,sink
/c/en/0/n/,/c/en/1/
/c/en/12_hour_clock/n/,/c/en/24_hour_clock/
/c/en/24_hour_clock/n/,/c/en/12_hour_clock/
/c/en/5/n/,/c/en/3/
/c/en/a.c/n/,/c/en/d.c/
/c/en/a.m/r/,/c/en/afternoon/
/c/en/a.m/r/,/c/en/p.m/
/c/en/a.m/r/,/c/en/pm/
/c/en/ab_extra/r/,/c/en/ab_intra/
/c/en/ab_intra/r/,/c/en/ab_extra/
/c/en/abactinal/a/,/c/en/actinal/
/c/en/abandon/v/,/c/en/acquire/
/c/en/abandon/v/,/c/en/arrogate/
/c/en/abandon/v/,/c/en/embrace/
/c/en/abandon/v/,/c/en/engage/
/c/en/abandon/v/,/c/en/gain/
/c/en/abandon/v/,/c/en/join/
/c/en/abandon/v/,/c/en/maintain/
/c/en/abandon/v/,/c/en/retain/
/c/en/abandon/v/,/c/en/unite/
/c/en/abandonment/n/,/c/en/acquisition/
/c/en/abapical/a/,/c/en/apical/
/c/en/abase/v/,/c/en/exalt/
/c/en/abash/v/,/c/en/embolden/
/c/en/abash/v/,/c/en/reassure/
/c/en/abate/v/,/c/en/augment/
/c/en/abaxial/a/,/c/en/adaxial/
/c/en/abaxonal/a/,/c/en/adaxonal/
/c/en/abbreviate/v/,/c/en/lengthen/
/c/en/abderian/a/,/c/en/agelastic/
/c/en/abducent/a/,/c/en/adducent/
/c/en/abduction/n/,/c/en/adduction/
/c/en/abductive/a/,/c/en/deduce/
/c/en/abductor/n/,/c/en/abductee/
/c/en/abductor/n/,/c/en/abductee/
/c/en/abductor/n/,/c/en/adductor/
/c/en/abideable/a/,/c/en/insupportable/
/c/en/abideable/a/,/c/en/intolerable/
/c/en/abideable/a/,/c/en/unabideable/
/c/en/abideable/a/,/c/en/unbearable/
/c/en/abience/n/,/c/en/adience/
/c/en/abient/a/,/c/en/adient/
/c/en/ability/n/,/c/en/disability/
/c/en/ability/n/,/c/en/inability/
/c/en/abiogenesis/n/,/c/en/biogenesis/
/c/en/abiogenesis/n/,/c/en/transformism/
/c/en/abjectly/r/,/c/en/proudly/
/c/en/abjugate/v/,/c/en/adjugate/
/c/en/able/,/c/en/cane/
/c/en/able/,/c/en/cannot/
/c/en/able/,/c/en/disability/
/c/en/able/a/,/c/en/unable/
/c/en/abled/a/,/c/en/disabled/
/c/en/abluminal/a/,/c/en/adluminal/
/c/en/abnormal/a/,/c/en/normal/
/c/en/abnormality/n/,/c/en/normality/
/c/en/abolish/v/,/c/en/establish/
/c/en/abolition/n/,/c/en/establishment/
/c/en/aborad/r/,/c/en/orad/
/c/en/abortionist/n/,/c/en/anti_abortionist/
/c/en/about/,/c/en/precisely/
/c/en/above/,/c/en/below/
/c/en/above_average/,/c/en/below_average/
/c/en/above_fold/,/c/en/below_fold/
/c/en/above_fold/,/c/en/below_scroll/
/c/en/above_mentioned/a/,/c/en/following/
/c/en/above_mentioned/a/,/c/en/undermentioned/
/c/en/above_par/,/c/en/below_par/
/c/en/above_salt/,/c/en/below_salt/
/c/en/above_water/,/c/en/under_water/
/c/en/aboveground/a/,/c/en/belowground/
/c/en/aboveground/a/,/c/en/underground/
/c/en/aboveness/n/,/c/en/belowness/
/c/en/abridgable/a/,/c/en/unabridgable/
/c/en/abrogate/v/,/c/en/establish/
/c/en/abrogate/v/,/c/en/fix/
/c/en/abrogate/v/,/c/en/promulgate/
/c/en/abruptly_pinnate/a/,/c/en/imparipinnate/
/c/en/abruptly_pinnate/a/,/c/en/odd_pinnate/
/c/en/absence/n/,/c/en/existence/
/c/en/absence/n/,/c/en/presence/
/c/en/absence_makes_heart_grow_fonder/,/c/en/long_absent_soon_forgotten/
/c/en/absence_makes_heart_grow_fonder/,/c/en/out_of_sight_out_of_mind/
/c/en/absence_makes_heart_grow_fonder/,/c/en/when_cat's_away_mice_will_play/
/c/en/absent/a/,/c/en/present/
/c/en/absolute/a/,/c/en/conditional/
/c/en/absolute/a/,/c/en/relative/
/c/en/absolute/n/,/c/en/relative/
/c/en/absolute_majority/n/,/c/en/plurality/
/c/en/absolute_majority/n/,/c/en/relative_majority/
/c/en/absoluteness/n/,/c/en/conditionality/
/c/en/absoluteness/n/,/c/en/limitedness/
/c/en/absoluteness/n/,/c/en/relativity/
/c/en/absolutism/n/,/c/en/relativism/
/c/en/absolutist/n/,/c/en/relativist/
/c/en/absolvitor/n/,/c/en/condemnator/
/c/en/absonant/a/,/c/en/consonant/
/c/en/absorb/v/,/c/en/emit/
/c/en/abstemious/a/,/c/en/immoderate/
/c/en/abstract/a/,/c/en/applied/
/c/en/abstract/a/,/c/en/concrete/
/c/en/abstract_class/n/,/c/en/concrete_class/
/c/en/abstract_method/n/,/c/en/concrete_method/
/c/en/abstract_noun/n/,/c/en/concrete_noun/
/c/en/abstract_number/n/,/c/en/concrete_number/
/c/en/abstract_verb/n/,/c/en/concrete_verb/
/c/en/abstract_verb/n/,/c/en/definite_verb/
/c/en/abstract_verb/n/,/c/en/determinate_verb/
/c/en/abstraction/n/,/c/en/concretization/
/c/en/abstraction/n/,/c/en/specialization/
/c/en/abstractness/n/,/c/en/concreteness/
/c/en/abundance/,/c/en/few/
/c/en/abundant/a/,/c/en/rare/
/c/en/abundant/a/,/c/en/scarce/
/c/en/abvalvar/a/,/c/en/advalvar/
/c/en/ac/,/c/en/ad/
/c/en/ac/,/c/en/dc/
/c/en/academically/r/,/c/en/non_academically/
/c/en/acapnia/n/,/c/en/hypercapnia/
/c/en/accede/v/,/c/en/leave/
/c/en/accelerate/v/,/c/en/decelerate/
/c/en/accelerate/v/,/c/en/retard/
/c/en/accelerate/v/,/c/en/unaccelerate/
/c/en/acceleration/n/,/c/en/deceleration/
/c/en/accept/,/c/en/decline/
/c/en/accept/,/c/en/deny/
/c/en/accept/,/c/en/refuse/
/c/en/accept/,/c/en/reject/
/c/en/accept/v/,/c/en/decline/
/c/en/accept/v/,/c/en/reject/
/c/en/acceptability/n/,/c/en/inacceptability/
/c/en/acceptability/n/,/c/en/unacceptability/
/c/en/acceptable/a/,/c/en/inacceptable/
/c/en/acceptable/a/,/c/en/unacceptable/
/c/en/accessible/a/,/c/en/inaccessible/
/c/en/accession/v/,/c/en/deaccession/
/c/en/accessor/n/,/c/en/mutator/
/c/en/accident/,/c/en/on_purpose/
/c/en/accident/,/c/en/planned/
/c/en/accident/,/c/en/purpose/
/c/en/accidentally/r/,/c/en/intentionally/
/c/en/acclivity/n/,/c/en/declivity/
/c/en/acclivous/a/,/c/en/declivous/
/c/en/accommodate/v/,/c/en/discommodate/
/c/en/accountable/a/,/c/en/unaccountable/
/c/en/accountably/r/,/c/en/irresponsibly/
/c/en/accountably/r/,/c/en/unaccountably/
/c/en/accretion/n/,/c/en/attrition/
/c/en/accretion/n/,/c/en/decay/
/c/en/accretion/n/,/c/en/erosion/
/c/en/accrue/v/,/c/en/amortize/
/c/en/accumulation/n/,/c/en/decumulation/
/c/en/accumulation_point/n/,/c/en/isolated_point/
/c/en/accuracy/n/,/c/en/inaccuracy/
/c/en/accurate/a/,/c/en/inaccurate/
/c/en/accurateness/n/,/c/en/inaccurateness/
/c/en/accusatorial/a/,/c/en/inquisitorial/
/c/en/acerebral/a/,/c/en/cerebral/
/c/en/achieved_status/n/,/c/en/ascribed_status/
/c/en/achiral/a/,/c/en/chiral/
/c/en/acholia/n/,/c/en/cholaemia/
/c/en/acid/a/,/c/en/alkaline/
/c/en/acid/a/,/c/en/base/
/c/en/acid/n/,/c/en/alkali/
/c/en/acid/n/,/c/en/base/
/c/en/acidic/a/,/c/en/basic/
/c/en/acidify/v/,/c/en/alkalify/
/c/en/acidify/v/,/c/en/basify/
/c/en/acidity/n/,/c/en/alkalinity/
/c/en/ack/n/,/c/en/nak/
/c/en/ack/n/,/c/en/nack/
/c/en/acme/n/,/c/en/nadir/
/c/en/acoloutha/n/,/c/en/anacoloutha/
/c/en/acoptic/a/,/c/en/coptic/
/c/en/acoptic/a/,/c/en/nonacoptic/
/c/en/acquire/v/,/c/en/abandon/
/c/en/acquisition/n/,/c/en/abandonment/
/c/en/acquittal/n/,/c/en/condemnation/
/c/en/acquittal/n/,/c/en/conviction/
/c/en/acrimonious/a/,/c/en/nonacrimonious/
/c/en/acrimony/n/,/c/en/friendship/
/c/en/acrimony/n/,/c/en/peace/
/c/en/acrogynous/a/,/c/en/anacrogynous/
/c/en/acronycal/a/,/c/en/cosmical/
/c/en/acropetal/a/,/c/en/basipetal/
/c/en/acrophase/n/,/c/en/bathyphase/
/c/en/acrophase/n/,/c/en/trough/
/c/en/acrophobia/n/,/c/en/bathophobia/
/c/en/acrophyll/n/,/c/en/bathyphyll/
/c/en/acroscopic/a/,/c/en/basiscopic/
/c/en/across/,/c/en/crossword/
/c/en/across/,/c/en/crossword_down/
/c/en/across/,/c/en/down/
/c/en/across/,/c/en/parallel/
/c/en/across_variable/n/,/c/en/through_variable/
/c/en/act/,/c/en/be_real/
/c/en/act/,/c/en/do/
/c/en/act/,/c/en/do_nothing/
/c/en/act/,/c/en/nothing/
/c/en/act/,/c/en/real/
/c/en/actifan/n/,/c/en/passifan/
/c/en/action/n/,/c/en/inaction/
/c/en/actions_speak_louder_than_words/,/c/en/pen_is_mightier_than_sword/
/c/en/activate/v/,/c/en/deactivate/
/c/en/activate/v/,/c/en/disactivate/
/c/en/activate/v/,/c/en/inactivate/
/c/en/active/a/,/c/en/inactive/
/c/en/active_duty/n/,/c/en/reserve/
/c/en/activity/n/,/c/en/inactivity/
/c/en/activity/n/,/c/en/passivity/
/c/en/activity/n/,/c/en/rest/
/c/en/actual/,/c/en/fake/
/c/en/actual/,/c/en/fake_simulated/
/c/en/actual/,/c/en/pretend/
/c/en/actual/,/c/en/simulated/
/c/en/actual/,/c/en/smaller/
/c/en/actual/a/,/c/en/future/
/c/en/actual/a/,/c/en/potential/
/c/en/acute_toxicity/n/,/c/en/chronic_toxicity/
/c/en/acyanophilous/a/,/c/en/cyanophilous/
/c/en/acyclic/a/,/c/en/cyclic/
/c/en/ad/a/,/c/en/bc/
/c/en/ad/r/,/c/en/ac/
/c/en/ad_hominem/n/,/c/en/ad_verecundiam/
/c/en/ad_hominem/n/,/c/en/appeal_to_authority/
/c/en/ad_hominem/n/,/c/en/ipse_dixit/
/c/en/adam_teasing/n/,/c/en/eve_teasing/
/c/en/adapical/a/,/c/en/adbasal/
/c/en/adaptive/a/,/c/en/maladaptive/
/c/en/adaxial/a/,/c/en/abaxial/
/c/en/adaxonal/a/,/c/en/abaxonal/
/c/en/adbasal/a/,/c/en/adapical/
/c/en/add/,/c/en/subtract/
/c/en/add/,/c/en/subtraction/
/c/en/add/,/c/en/take/
/c/en/add/,/c/en/take_away/
/c/en/add/v/,/c/en/remove/
/c/en/add/v/,/c/en/subtract/
/c/en/adder/,/c/en/subtract/
/c/en/addibility/n/,/c/en/inaddibility/
/c/en/addible/a/,/c/en/inaddible/
/c/en/addicting/a/,/c/en/nonaddictive/
/c/en/addictive/a/,/c/en/nonaddictive/
/c/en/addition/,/c/en/subtraction/
/c/en/addition/n/,/c/en/deduction/
/c/en/addition/n/,/c/en/exclusion/
/c/en/addition/n/,/c/en/subtraction/
/c/en/addressable/a/,/c/en/unaddressable/
/c/en/addressee/n/,/c/en/sender/
/c/en/addressee/n/,/c/en/speaker/
/c/en/adept/a/,/c/en/inept/
/c/en/adequate/a/,/c/en/inadequate/
/c/en/adfix/n/,/c/en/infix/
/c/en/adhesion/n/,/c/en/cohesion/
/c/en/adiabatic/a/,/c/en/diabatic/
/c/en/adiabatic/a/,/c/en/nonadiabatic/
/c/en/adjacent/a/,/c/en/apart/
/c/en/adjacent/a/,/c/fr/distant/
/c/en/adjectival_pronoun/n/,/c/en/substantival_pronoun/
/c/en/adjoining/a/,/c/en/separated/
/c/en/adluminal/a/,/c/en/abluminal/
/c/en/administrative/a/,/c/en/non_administrative/
/c/en/admire/,/c/en/despise/
/c/en/admissibility/a/,/c/en/inadmissibility/
/c/en/admissibility/n/,/c/en/inadmissibility/
/c/en/admissible/a/,/c/en/inadmissible/
/c/en/admit/,/c/en/deny/
/c/en/admit/,/c/en/reject/
/c/en/admittable/a/,/c/en/unadmittable/
/c/en/adnate/a/,/c/en/connate/
/c/en/adonist/n/,/c/en/jehovist/
/c/en/adopt/,/c/en/abandon/
/c/en/adopt/,/c/en/biological/
/c/en/adopt/,/c/en/biological_child/
/c/en/adopt/,/c/en/birth/
/c/en/adopt/,/c/en/child/
/c/en/adopt/,/c/en/children/
/c/en/adopt/,/c/en/give/
/c/en/adopt/,/c/en/give_away/
/c/en/adopt/,/c/en/orphan/
/c/en/adopt/,/c/en/own/
/c/en/adopt/,/c/en/own_children/
/c/en/adoration/n/,/c/en/disdain/
/c/en/adore/v/,/c/en/disdain/
/c/en/adret/n/,/c/en/ubac/
/c/en/adroit/a/,/c/en/clumsy/
/c/en/adroit/a/,/c/en/maladroit/
/c/en/adsorbent/a/,/c/en/nonadsorbent/
/c/en/adsorption/n/,/c/en/desorption/
/c/en/adsorptive/a/,/c/en/nonadsorptive/
/c/en/adult/,/c/en/child/
/c/en/adulteration/n/,/c/en/purification/
/c/en/adulthood/n/,/c/en/childhood/
/c/en/adultish/a/,/c/en/childish/
/c/en/advalvar/a/,/c/en/abvalvar/
/c/en/advance/,/c/en/backward/
/c/en/advance/,/c/en/basic/
/c/en/advance/,/c/en/going/
/c/en/advance/,/c/en/going_backward/
/c/en/advance/,/c/en/late/
/c/en/advance/,/c/en/late_payment/
/c/en/advance/,/c/en/payment/
/c/en/advance/,/c/en/retreat/
/c/en/advantage/,/c/en/con/
/c/en/advantage/,/c/en/handicap/
/c/en/advantage/n/,/c/en/disadvantage/
/c/en/advantageously/r/,/c/en/disadvantageously/
/c/en/advehent/a/,/c/en/revehent/
/c/en/adventure/,/c/en/boring/
/c/en/adventure/,/c/en/lazy/
/c/en/adventure/n/,/c/en/abstention/
/c/en/adventurous/a/,/c/en/nervous/
/c/en/adventurous/a/,/c/en/safe/
/c/en/adverb/,/c/en/adjective/
/c/en/adverb/,/c/en/pronoun/
/c/en/adversarial/a/,/c/en/cooperative/
/c/en/adverse_effect/n/,/c/en/desired_effect/
/c/en/advertent/a/,/c/en/inadvertent/
/c/en/advisability/n/,/c/en/inadvisability/
/c/en/advisory/a/,/c/en/mandatory/
/c/en/aequihymeniiferous/a/,/c/en/inaequihymeniiferous/
/c/en/aerobic/a/,/c/en/anaerobic/
/c/en/aerobiosis/n/,/c/en/anaerobiosis/
/c/en/aerobiotic/a/,/c/en/nonaerobiotic/
/c/en/aerodyne/n/,/c/en/aerostat/
/c/en/aerophyte/n/,/c/en/anaerophyte/
/c/en/aerostat/n/,/c/en/aerodyne/
/c/en/aesthetical/a/,/c/en/inaesthetic/
/c/en/aestival/a/,/c/en/brumal/
/c/en/aestival/a/,/c/en/hibernal/
/c/en/aff/n/,/c/en/neg/
/c/en/affair/,/c/en/activity/
/c/en/affair/,/c/en/faithful/
/c/en/affair/,/c/en/faithful_activity/
/c/en/affair/,/c/en/fidelity/
/c/en/affair/,/c/en/loyal/
/c/en/affair/,/c/en/marriage/
/c/en/affair/,/c/en/relationship/
/c/en/afferent/a/,/c/en/efferent/
/c/en/afferently/r/,/c/en/efferently/
/c/en/affinal/a/,/c/en/consanguine/
/c/en/affirm/v/,/c/en/deny/
/c/en/affirmative/,/c/en/negative/
/c/en/affirmative/a/,/c/en/negative/
/c/en/affix/n/,/c/en/nonaffix/
/c/en/affluence/n/,/c/en/indigence/
/c/en/affluent/a/,/c/en/indigent/
/c/en/afford/,/c/en/expensive/
/c/en/afford/,/c/en/too/
/c/en/afford/,/c/en/too_expensive/
/c/en/affordable/a/,/c/en/expensive/
/c/en/afforest/v/,/c/en/deforest/
/c/en/afforestation/n/,/c/en/deforestation/
/c/en/aforementioned/a/,/c/en/following/
/c/en/aforementioned/a/,/c/en/undermentioned/
/c/en/aforementioned/n/,/c/en/following/
/c/en/aforementioned/n/,/c/en/undermentioned/
/c/en/aforesaid/a/,/c/en/following/
/c/en/aft/r/,/c/en/fore/
/c/en/after/,/c/en/before/
/c/en/afterbear/n/,/c/en/forebear/
/c/en/afterbeat/n/,/c/en/forebeat/
/c/en/afterbrain/n/,/c/en/forebrain/
/c/en/aftercoming/a/,/c/en/forecoming/
/c/en/afterdated/a/,/c/en/foredated/
/c/en/afterdeal/n/,/c/en/foredeal/
/c/en/aftergame/n/,/c/en/foregame/
/c/en/afterglow/n/,/c/en/foreglow/
/c/en/afterglow/n/,/c/en/hangover/
/c/en/afterglow/n/,/c/en/post_coital_tristesse/
/c/en/afterhand/r/,/c/en/beforehand/
/c/en/afterhand/r/,/c/en/forehand/
/c/en/afterlife/n/,/c/en/forelife/
/c/en/aftermarket/n/,/c/en/oem/
/c/en/aftername/n/,/c/en/forename/
/c/en/afternoon/,/c/en/before/
/c/en/afternoon/,/c/en/before_lunch/
/c/en/afternoon/,/c/en/before_noon/
/c/en/afternoon/,/c/en/evening/
/c/en/afternoon/,/c/en/lunch/
/c/en/afternoon/,/c/en/morning/
/c/en/afternoon/,/c/en/noon/
/c/en/afterparty/n/,/c/fr/preparty/
/c/en/aftersee/v/,/c/en/foresee/
/c/en/afterset/n/,/c/en/foreset/
/c/en/aftershock/n/,/c/en/foreshock/
/c/en/aftersound/n/,/c/en/foresound/
/c/en/afterstroke/n/,/c/en/appoggiatura/
/c/en/aftertale/n/,/c/en/foretale/
/c/en/aftertest/n/,/c/en/foretest/
/c/en/afterthinker/n/,/c/en/forethinker/
/c/en/afterward/r/,/c/en/beforehand/
/c/en/afterwards/r/,/c/en/beforehand/
/c/en/again/,/c/en/never/
/c/en/again/,/c/en/once/
/c/en/again/,/c/en/stop/
/c/en/again/,/c/en/stop_trying/
/c/en/again/,/c/en/trying/
/c/en/against/,/c/en/away/
/c/en/against/,/c/en/away_from/
/c/en/against/,/c/en/being/
/c/en/against/,/c/en/being_for/
/c/en/against/,/c/en/for/
/c/en/against/,/c/en/for_or/
/c/en/against/,/c/en/for_someone/
/c/en/against/,/c/en/someone/
/c/en/against/,/c/en/with/
/c/en/age/,/c/en/getting/
/c/en/age/,/c/en/getting_younger/
/c/en/age/,/c/en/grow/
/c/en/age/,/c/en/grow_young/
/c/en/age/,/c/en/human/
/c/en/age/,/c/en/human_years/
/c/en/age/,/c/en/number/
/c/en/age/,/c/en/number_years/
/c/en/age/,/c/en/old/
/c/en/age/,/c/en/years/
/c/en/age/,/c/en/young/
/c/en/age/,/c/en/younger/
/c/en/age/,/c/en/youth/
/c/en/agelastic/a/,/c/en/abderian/
/c/en/agent/n/,/c/en/patient/
/c/en/aggravate/v/,/c/en/mitigate/
/c/en/aggregant/n/,/c/en/antiaggregant/
/c/en/aggregatable/a/,/c/en/unaggregatable/
/c/en/aggregate/v/,/c/en/segregate/
/c/en/aggregation/n/,/c/en/disgregation/
/c/en/aggression/n/,/c/en/nonaggression/
/c/en/aggressive/a/,/c/en/passive/
/c/en/agile/a/,/c/en/unagile/
/c/en/agitator/n/,/c/en/agitatee/
/c/en/agnate/n/,/c/en/enate/
/c/en/agnosis/n/,/c/en/gnosis/
/c/en/ago/,/c/en/future/
/c/en/agony/,/c/en/bliss/
/c/en/agony/,/c/en/defeat/
/c/en/agony/,/c/en/ecstasy/
/c/en/agony/n/,/c/en/ecstasy/
/c/en/agrammatical/a/,/c/en/grammatical/
/c/en/agree/,/c/en/argue/
/c/en/agree/,/c/en/decline/
/c/en/agree/,/c/en/disagreement/
/c/en/agree/v/,/c/en/disagree/
/c/en/agree_with/v/,/c/en/disagree_with/
/c/en/agreement/,/c/en/dispute/
/c/en/agromania/n/,/c/en/agrophobia/
/c/en/ahead/r/,/c/en/behind/
/c/en/ahead_of_one's_time/,/c/en/before_one's_time/
/c/en/ahead_of_one's_time/,/c/en/behind_one's_time/
/c/en/ahermatypic/a/,/c/en/hermatypic/
/c/en/ahle_hadith/n/,/c/en/ahle_quran/
/c/en/aibohphobia/n/,/c/en/ailihphilia/
/c/en/ailihphilia/n/,/c/en/aibohphobia/
