wn30,cn
00001740-a,/c/en/able
00002098-a,/c/en/unable
00002312-a,/c/en/abaxial
00002527-a,/c/en/adaxial
00002730-a,/c/en/acroscopic
00002843-a,/c/en/basiscopic
00002956-a,/c/en/abducent
00003131-a,/c/en/adducent
00003356-a,/c/en/nascent
00003939-a,/c/en/dying
00004413-a,/c/en/abridged
00004980-a,/c/en/unabridged
00005205-a,/c/en/absolute
00006032-a,/c/en/relative
00006336-a,/c/en/absorbent
00007813-a,/c/en/nonabsorbent
00008206-a,/c/en/adsorbent
00008595-a,/c/en/nonadsorbent
00008734-a,/c/en/absorbable
00008877-a,/c/en/adsorbable
00009046-a,/c/en/abstemious
00009978-a,/c/en/gluttonous
00011757-a,/c/en/abstract
00013160-a,/c/en/concrete
00013887-a,/c/en/abundant
00016756-a,/c/en/scarce
00017352-a,/c/en/abused
00017688-a,/c/en/unabused
00017782-a,/c/en/acceptable
00018584-a,/c/en/unacceptable
00019131-a,/c/en/accessible
00019874-a,/c/en/inaccessible
00020787-a,/c/en/accommodating
00021403-a,/c/en/unaccommodating
00021766-a,/c/en/accurate
00023383-a,/c/en/inaccurate
00025238-a,/c/en/acidic
00025728-a,/c/en/alkaline
00026515-a,/c/en/amphoteric
00026706-a,/c/en/acid_loving
00027074-a,/c/en/alkaline_loving
00027247-a,/c/en/acknowledged
00028672-a,/c/en/unacknowledged
00029343-a,/c/en/acquisitive
00031533-a,/c/en/unacquisitive
00031674-a,/c/en/acropetal
00031824-a,/c/en/basipetal
00031974-a,/c/en/active
00033574-a,/c/en/inactive
00034710-a,/c/en/active
00035074-a,/c/en/inactive
00035465-a,/c/en/active
00036481-a,/c/en/inactive
00037457-a,/c/en/active
00037757-a,/c/en/inactive
00038750-a,/c/en/active
00039592-a,/c/en/passive
00040325-a,/c/en/active
00040685-a,/c/en/dormant
00041051-a,/c/en/extinct
00041361-a,/c/en/active
00041618-a,/c/en/active
00041841-a,/c/en/stative
00042037-a,/c/en/active
00042228-a,/c/en/passive
00042457-a,/c/en/active
00043125-a,/c/en/inactive
00043411-a,/c/en/active
00043765-a,/c/en/actual
00044353-a,/c/en/potential
00044760-a,/c/en/acute
00045123-a,/c/en/chronic
00045561-a,/c/en/virulent
00046014-a,/c/en/avirulent
00046109-a,/c/en/adaptive
00046673-a,/c/en/maladaptive
00047029-a,/c/en/addicted
00047566-a,/c/en/unaddicted
00047786-a,/c/en/addictive
00047954-a,/c/en/nonaddictive
00048129-a,/c/en/additive
00050083-a,/c/en/subtractive
00050641-a,/c/en/addressed
00050947-a,/c/en/unaddressed
00051045-a,/c/en/adequate
00051696-a,/c/en/inadequate
00052672-a,/c/en/adhesive
00054908-a,/c/en/nonadhesive
00055340-a,/c/en/adjective
00055539-a,/c/en/substantive
00055765-a,/c/en/adoptable
00055906-a,/c/en/unadoptable
00056002-a,/c/en/adorned
00060397-a,/c/en/unadorned
00060969-a,/c/en/cholinergic
00061088-a,/c/en/anticholinergic
00061262-a,/c/en/adroit
00063277-a,/c/en/maladroit
00064479-a,/c/en/advantageous
00065488-a,/c/en/disadvantageous
00065791-a,/c/en/adventurous
00066800-a,/c/en/unadventurous
00067038-a,/c/en/advisable
00067767-a,/c/en/inadvisable
00067966-a,/c/en/well_advised
00068278-a,/c/en/ill_advised
00068566-a,/c/en/aerobic
00069060-a,/c/en/anaerobic
00069217-a,/c/en/aerobic
00069427-a,/c/en/anaerobic
00069531-a,/c/en/aesthetic
00070583-a,/c/en/inaesthetic
00070939-a,/c/en/affected
00071992-a,/c/en/unaffected
00073048-a,/c/en/affected
00074346-a,/c/en/unaffected
00075135-a,/c/en/affirmative
00075515-a,/c/en/negative
00075952-a,/c/en/acceptive
00076341-a,/c/en/rejective
00076921-a,/c/en/afloat
00077449-a,/c/en/aground
00077645-a,/c/en/afraid
00081671-a,/c/en/unafraid_p
00082241-a,/c/en/aggressive
00084956-a,/c/en/unaggressive
00085264-a,/c/en/agitated
00087152-a,/c/en/unagitated
00087354-a,/c/en/agitated
00088658-a,/c/en/unagitated
00089051-a,/c/en/agreeable
00089355-a,/c/en/disagreeable
00090718-a,/c/en/air_to_surface
00090917-a,/c/en/air_to_air
00091121-a,/c/en/surface_to_air
00091311-a,/c/en/alert
00092551-a,/c/en/unalert
00092691-a,/c/en/algorithmic
00092933-a,/c/en/heuristic
00093275-a,/c/en/alienable
00093810-a,/c/en/inalienable
00094448-a,/c/en/alive_p
00095280-a,/c/en/dead
